Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
4218,microsoft,microsoft,5.62,21.082
4854,mics,mics,5.49,1.309
6064,mid,mid,5.24,744
5592,middle,middle,5.34,7.174
7939,mideast,mideast,4.82,15.609
2098,midnight,midnight,6.18,14.241
4254,midst,midst,5.61,13.817
3734,midtown,midtown,5.72,14.148
7827,miedo,miedo,4.85,12.026
6858,mientras,mientras,5.06,9.221
7674,mig,mig,4.9,15.844
6812,might,might,5.08,12.262
2790,mighty,mighty,5.96,13.087
3829,migration,migration,5.7,1.374
7287,mij,mij,4.98,9.998
7786,mijn,mijn,4.86,9.037
5774,mike,mike,5.3,14.463
6434,mil,mil,5.16,6.181
3830,mild,mild,5.7,15.017
6996,mile,mile,5.04,1.049
5775,miles,miles,5.3,1.165
7381,miley,miley,4.96,13.696
8077,military,military,4.78,1.753
1983,milk,milk,6.22,19.303
6155,mill,mill,5.22,12.664
5484,miller,miller,5.36,10.254
256,million,million,7.38,1.427
133,millionaire,millionaire,7.62,21.275
348,millions,millions,7.26,15.361
4408,mills,mills,5.58,9.708
6997,milton,milton,5.04,14.702
5485,milwaukee,milwaukee,5.36,11.739
8126,min,min,4.76,744
2505,mind,mind,6.04,12.771
2158,minds,minds,6.16,12.349
1762,mine,mine,6.3,1.359
2099,mineral,mineral,6.18,10.039
8195,mines,mines,4.74,15.493
8196,minha,minha,4.74,9.858
5219,mini,mini,5.42,10.708
9044,minimum,minimum,4.14,12.779
7865,mining,mining,4.84,15.434
6352,minister,minister,5.18,14.097
5322,ministers,ministers,5.4,17.728
4409,ministry,ministry,5.58,18.526
6713,minneapolis,minneapolis,5.1,15.551
6065,minnesota,minnesota,5.24,15.328
8390,minor,minor,4.66,12.554
8937,minority,minority,4.24,1.546
7462,mins,mins,4.94,12.843
1379,mint,mint,6.46,13.126
9204,minus,minus,3.96,14.978
4816,minute,minute,5.5,9.313
5882,minutes,minutes,5.28,9.044
6198,mio,mio,5.2,10.989
7193,mir,mir,5,1.088
6435,mira,mira,5.16,14.337
123,miracle,miracle,7.64,18.926
216,miracles,miracles,7.44,19.395
6567,mirada,mirada,5.12,12.355
5776,miriam,miriam,5.3,9.949
1858,mirror,mirror,6.26,11.031
2284,mirrors,mirrors,6.1,13.423
7717,mis,mis,4.88,10.999
10039,miserable,miserable,2.54,16.686
9965,misery,misery,2.68,20.448
9470,misidentified,misidentified,3.56,1.402
7104,mismo,mismo,5.02,13.013
9420,miss,miss,3.64,16.258
9391,missed,missed,3.68,12.362
9240,misses,misses,3.9,1.374
9681,missile,missile,3.24,18.905
9917,missiles,missiles,2.82,15.868
9499,missin,missin,3.53,14.157
9825,missing,missing,2.98,13.775
3922,mission,mission,5.68,13.468
2975,missionary,missionary,5.92,19.022
3923,mississippi,mississippi,5.68,12.848
3735,missouri,missouri,5.72,17.148
9542,misspelled,misspelled,3.46,13.584
9543,misstated,misstated,3.46,10.144
7787,missy,missy,4.86,1.552
3352,mist,mist,5.82,15.768
9927,mistake,mistake,2.78,12.002
9445,mistaken,mistaken,3.6,14.286
9856,mistakes,mistakes,2.92,14.546
5116,mister,mister,5.44,14.309
3113,misty,misty,5.88,18.779
9544,misunderstood,misunderstood,3.46,17.049
5401,mit,mit,5.38,12.599
6527,mitchell,mitchell,5.14,13.095
3399,mix,mix,5.8,9.258
4922,mixed,mixed,5.48,8.389
5323,mixtape,mixtape,5.4,10.498
3052,mixture,mixture,5.9,12.071
6900,mj,mj,5.06,12.191
7331,ml,ml,4.98,924
6998,mm,mm,5.04,13.547
3831,mmm,mmm,5.7,15.551
1859,mmmm,mmmm,6.26,15.624
2791,mmmmm,mmmmm,5.96,18.622
7866,mn,mn,4.84,7.656
7463,mo,mo,4.94,13.157
8913,moan,moan,4.27,22.288
9471,mob,mob,3.56,18.644
1612,mobile,mobile,6.36,12.081
5883,mode,mode,5.28,11.787
3400,model,model,5.8,1.088
2212,models,models,6.14,1.578
5593,moderate,moderate,5.34,12.715
1345,modern,modern,6.48,11.822
5163,modes,modes,5.43,12.076
3014,modest,modest,5.9,14.178
3736,modification,modification,5.72,14.714
4855,modified,modified,5.49,10.825
7680,moe,moe,4.9,12.418
5927,moet,moet,5.27,14.401
7609,moi,moi,4.91,14.866
9272,mold,mold,3.85,17.982
4564,molecular,molecular,5.55,13.854
4015,molecules,molecules,5.66,15.334
124,mom,mom,7.64,18.709
838,mom's,mom's,6.78,16.199
3924,moment,moment,5.68,11.147
3525,momento,momento,5.78,16.491
2322,moments,moments,6.1,11.112
927,momma,momma,6.72,17.384
230,mommy,mommy,7.42,17.623
709,moms,moms,6.88,17.687
6353,mon,mon,5.18,15.868
8880,monday,monday,4.3,18.871
9116,mondays,mondays,4.06,17.775
5486,monde,monde,5.36,12.739
6156,mondo,mondo,5.22,1.183
2564,monetary,monetary,6.02,13.923
312,money,money,7.3,18.434
4707,monica,monica,5.52,1.432
6354,monitor,monitor,5.18,17.922
6901,monitoring,monitoring,5.06,12.521
1808,monkey,monkey,6.28,17.148
9545,monster,monster,3.46,19.189
9534,monsters,monsters,3.47,16.845
5117,montana,montana,5.44,12.803
7382,montclair,montclair,4.96,9.889
