Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
3679,situated,situated,5.74,10.654
7216,situation,situation,5,13.093
5065,situations,situations,5.45,11.376
5611,six,six,5.34,11.537
1531,sixteen,sixteen,6.39,14.835
6630,sixth,sixth,5.12,9.398
7485,sixty,sixty,4.94,17.775
7018,size,size,5.04,9.681
1004,skating,skating,6.68,12.848
1581,sketch,sketch,6.37,15.233
3265,ski,ski,5.84,13.303
444,skies,skies,7.16,13.456
1173,skill,skill,6.57,13.385
1570,skills,skills,6.38,15.504
4832,skin,skin,5.5,15.551
2956,skinny,skinny,5.92,15.232
5694,skip,skip,5.32,1.463
2474,skirt,skirt,6.04,20.712
8710,skool,skool,4.46,17.867
9211,skull,skull,3.96,16.325
83,sky,sky,7.76,10.797
1817,skype,skype,6.28,14.574
9194,slam,slam,3.98,16.351
6275,slang,slang,5.2,16.288
10060,slap,slap,2.48,15.285
9740,slapped,slapped,3.14,1.552
10085,slaughter,slaughter,2.41,18.362
10160,slave,slave,2.06,14.626
10170,slavery,slavery,2.02,15.842
10161,slaves,slaves,2.06,13.694
445,sleep,sleep,7.16,17.066
580,sleeping,sleeping,7.02,1.672
9859,sleepless,sleepless,2.92,15.497
1136,sleeps,sleeps,6.59,14.708
7653,sleepy,sleepy,4.9,17.757
7130,sleeve,sleeve,5.02,13.626
3116,sleigh,sleigh,5.88,18.175
1089,slept,slept,6.62,15.635
7131,slice,slice,5.02,14.913
6380,slick,slick,5.18,16.499
3600,slide,slide,5.76,12.216
8316,slight,slight,4.7,10.546
8023,slightly,slightly,4.8,8.571
2462,slim,slim,6.06,14.902
9304,slip,slip,3.82,12.887
9271,slipped,slipped,3.86,15.811
8890,slippin,slippin,4.29,1.713
9245,slipping,slipping,3.9,14.463
8802,slips,slips,4.38,14.693
8441,slit,slit,4.64,15.086
4759,slope,slope,5.51,12.603
9332,slow,slow,3.78,11.119
8860,slowly,slowly,4.32,14.348
9496,slug,slug,3.54,13.734
9205,slugs,slugs,3.96,16.408
9218,slumdog,slumdog,3.94,17.775
9461,slut,slut,3.57,2.63
7801,sm,sm,4.86,7.287
8869,smack,smack,4.31,20.021
8644,small,small,4.52,13.589
8208,smaller,smaller,4.74,1.482
198,smart,smart,7.48,13.738
8947,smash,smash,4.24,15.722
9569,smashed,smashed,3.42,17.443
7954,smell,smell,4.82,15.477
9017,smells,smells,4.18,15.868
8209,smh,smh,4.74,7.508
13,smile,smile,8.1,10.152
16,smiled,smiled,8.08,1.066
84,smiles,smiles,7.76,17.907
150,smiling,smiling,7.58,17.034
6732,smith,smith,5.1,14.743
9726,smoke,smoke,3.16,19.416
7802,smoked,smoked,4.86,19.589
6733,smokin,smokin,5.1,21.309
9762,smoking,smoking,3.1,19.404
818,smooth,smooth,6.8,1.178
4833,sms,sms,5.5,16.067
500,snack,snack,7.1,15.682
9517,snake,snake,3.5,1.669
9411,snakes,snakes,3.65,20.872
6276,snap,snap,5.2,16.288
9286,snatch,snatch,3.84,16.333
8884,sneak,sneak,4.3,15.419
9405,snitch,snitch,3.66,16.489
5244,snl,snl,5.42,1.295
8686,snoop,snoop,4.48,17.984
1719,snow,snow,6.32,21.801
4238,snowed,snowed,5.62,20.293
2269,snowing,snowing,6.12,21.631
6833,so,so,5.08,8.999
8885,so-called,so-called,4.3,12.657
2335,soap,soap,6.1,10.738
3521,sober,sober,5.78,19.772
6734,sobre,sobre,5.1,13.887
7826,soc,soc,4.86,1.307
1429,soccer,soccer,6.44,15.407
1995,social,social,6.22,10.359
7413,socialism,socialism,4.96,22.727
6086,socialist,socialist,5.24,21.905
2890,societies,societies,5.94,13.614
3509,society,society,5.78,14.184
5066,sociology,sociology,5.45,14.586
6919,socks,socks,5.06,14.201
2047,soda,soda,6.2,17.379
8361,sodium,sodium,4.68,15.043
2518,sofa,sofa,6.04,13.547
1359,soft,soft,6.48,12.162
1532,softly,softly,6.39,1.525
1774,software,software,6.3,14.321
4426,soho,soho,5.58,12.631
3783,soil,soil,5.71,16.497
4043,sol,sol,5.66,16.113
7604,sola,sola,4.92,14.554
1245,solar,solar,6.54,14.172
5509,sold,sold,5.36,12.898
6631,soldier,soldier,5.12,15.862
5418,soldiers,soldiers,5.38,16.399
4664,sole,sole,5.53,12.926
6834,soledad,soledad,5.08,13.827
4427,solely,solely,5.58,13.415
2957,solid,solid,5.92,1.122
7132,solitude,solitude,5.02,18.897
4533,solo,solo,5.56,13.726
5137,solomon,solomon,5.44,12.961
766,solution,solution,6.84,13.756
1058,solutions,solutions,6.64,13.815
1164,solve,solve,6.58,12.304
