Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
4521,playa,playa,5.56,17.861
5832,playas,playas,5.29,17.795
1558,played,played,6.38,1.427
2878,player,player,5.94,16.214
2794,players,players,5.96,16.157
1508,playin,playin,6.4,1.807
462,playing,playing,7.14,14.709
2104,playlist,playlist,6.18,16.123
3933,playoff,playoff,5.68,14.205
4023,playoffs,playoffs,5.66,16.977
932,plays,plays,6.72,15.784
1811,plaza,plaza,6.28,10.309
9104,plea,plea,4.08,12.262
9396,plead,plead,3.67,14.052
9283,pleaded,pleaded,3.84,13.756
196,pleasant,pleasant,7.48,12.162
1618,please,please,6.36,16.753
240,pleased,pleased,7.4,11.606
15,pleasure,pleasure,8.08,9.655
613,plenty,plenty,6.98,12.204
5995,plot,plot,5.26,13.822
6823,pls,pls,5.08,16.884
6366,plug,plug,5.18,1.024
865,plus,plus,6.76,14.923
5682,plz,plz,5.32,18.892
4717,pm,pm,5.52,13.438
8438,po,po,4.64,13.056
3837,pocket,pocket,5.7,10.351
3048,pockets,pockets,5.9,14.178
6262,poco,poco,5.2,13.702
3410,podcast,podcast,5.8,13.401
6910,poder,poder,5.06,12.521
1273,poem,poem,6.52,1.581
1349,poems,poems,6.48,1.568
1274,poet,poet,6.52,10.736
1881,poetic,poetic,6.24,17.973
1509,poetry,poetry,6.4,1.906
1394,poets,poets,6.46,16.497
6533,poi,poi,5.14,1.325
5229,point,point,5.42,9.055
7649,pointed,pointed,4.9,10.546
6444,pointing,pointing,5.16,12.349
2508,points,points,6.04,14.702
10184,poison,poison,1.94,11.502
3500,poker,poker,5.78,16.073
3092,poland,poland,5.88,13.346
4820,pole,pole,5.5,11.995
8552,police,police,4.58,18.526
6619,policies,policies,5.12,16.368
8202,policy,policy,4.74,14.401
2164,polish,polish,6.16,13.903
9064,political,political,4.12,15.205
8994,politically,politically,4.2,13.702
9626,politicians,politicians,3.34,11.359
8702,politics,politics,4.46,17.637
4225,poll,poll,5.62,13.384
5230,polls,polls,5.42,12.792
10135,pollution,pollution,2.16,11.843
6074,pon,pon,5.24,14.078
1037,pony,pony,6.65,14.076
842,pool,pool,6.78,14.609
9561,poop,poop,3.44,17.162
10102,poor,poor,2.32,12.848
9493,poor's,poor's,3.54,14.172
2730,pop,pop,5.98,1.237
866,popcorn,popcorn,6.76,18.245
4308,pope,pope,5.6,15.649
7475,popped,popped,4.94,14.902
6075,poppin,poppin,5.24,18.796
3501,pops,pops,5.78,17.058
1120,popular,popular,6.6,12.122
765,popularity,popularity,6.84,15.696
6445,population,population,5.16,13.607
6654,populations,populations,5.1,1.403
8132,por,por,4.76,10.214
2533,porch,porch,6.02,16.006
7300,pork,pork,4.98,1.857
9014,porn,porn,4.18,24.302
7116,porque,porque,5.02,1.02
5496,port,port,5.36,14.394
2879,portfolio,portfolio,5.94,14.344
4935,portion,portion,5.48,15.151
4131,portions,portions,5.64,12.578
3934,portland,portland,5.68,12.027
1460,portrait,portrait,6.42,13.716
3704,pose,pose,5.72,11.924
3169,position,position,5.86,1.125
4718,positions,positions,5.52,12.816
71,positive,positive,7.8,12.454
5891,posse,posse,5.28,12.784
5127,possess,possess,5.44,15.928
8217,possessed,possessed,4.73,19.124
5497,possession,possession,5.36,19.873
1010,possibilities,possibilities,6.67,14.774
1510,possibility,possibility,6.4,12.454
1918,possible,possible,6.24,1.598
3502,possibly,possibly,5.78,12.002
4936,post,post,5.48,10.925
4628,posted,posted,5.54,11.287
3252,poster,poster,5.84,11.314
6474,posterior,posterior,5.15,14.438
4719,posting,posting,5.52,10.925
5683,posts,posts,5.32,11.147
4416,pot,pot,5.58,15.265
1234,potato,potato,6.54,9.304
1350,potatoes,potatoes,6.48,11.471
996,potential,potential,6.68,10.774
2795,potentially,potentially,5.96,15.113
3170,potter,potter,5.86,17.958
7301,pound,pound,4.98,17.082
8939,pounding,pounding,4.24,2.026
5787,pounds,pounds,5.3,18.211
6367,pour,pour,5.18,1.32
5996,pouring,pouring,5.26,15.754
10179,poverty,poverty,1.98,11.156
8995,pow,pow,4.2,13.553
3666,powder,powder,5.74,12.586
4937,powell,powell,5.48,11.648
997,power,power,6.68,14.907
520,powerful,powerful,7.08,15.365
1030,powers,powers,6.66,13.188
7333,pp,pp,4.98,12.798
4629,ppl,ppl,5.54,1.328
8355,pq,pq,4.68,11.683
7117,pr,pr,5.02,9.581
7650,pra,pra,4.9,8.631
1919,practical,practical,6.24,12.867
2328,practically,practically,6.1,1.233
3411,practice,practice,5.8,13.401
4024,practices,practices,5.66,13.188
173,praise,praise,7.52,14.741
595,praised,praised,7,13.851
1084,pray,pray,6.62,1.968
1619,prayed,prayed,6.36,1.663
1351,prayer,prayer,6.48,22.061
675,prayers,prayers,6.92,18.499
637,praying,praying,6.96,17.492
6534,pre,pre,5.14,10.104
7046,preach,preach,5.02,19.202
5892,preacher,preacher,5.28,21.193
5714,preceding,preceding,5.31,9.927
281,precious,precious,7.34,15.201
2329,precise,precise,6.1,15.551
2748,precisely,precisely,5.98,12.827
9329,predeceased,predeceased,3.78,16.199
4938,predicted,predicted,5.48,12.329
4821,preface,preface,5.5,13.439
1275,prefer,prefer,6.52,10.349
2131,preference,preference,6.17,9.964
